Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),Isoprene (E/B),n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS)
6616,6234,1,202,7/21/09,22:56:30,22:57:23,202.956,202.957,40015.9559,40015.9565,37.68,-120.47,1311,,,,2009,,,,1.818,,,485,6,549,239,77.3,16.3,4.014,3.3,,,52.4,208,22.6,22.3,,,17.1,9.33,97.9,29.04,0.228,3.94,508,9.33,0.417,0.65,0.22,,,,9.17,5.26,6.67,0.81,3.51,0.62,1.135,,574,50,91,145,8,23,24,,0.00001,,,36,13,134,4,5,0.00001,0.00001,0.00001,0.00001,0.00001,30,4,11,19,4,0.00001,,,7,0.00001,,3,,15,12,4,,,,,,,,0.00001,0.00001,0.00001,4,0.00001,0.00001,0.00001,5,214,,1027,,1777,484
6617,8154,1,202,7/21/09,22:58:30,22:59:23,202.957,202.958,40015.9573,40015.9579,37.76,-120.55,1655,,,,2009,,,,1.814,,,509,15,546,245,79.1,16.8,4.205,3.9,,,56.2,217,24,25,,,19.5,9.63,103,32.33,0.304,4.74,514,11.17,0.565,0.71,0.24,,,,11.47,6.73,8.17,1.21,4.32,0.69,1.265,,588,66,107,171,7,27,31,,3,,,45,18,162,6,5,0.00001,0.00001,0.00001,0.00001,0.00001,57,46,8,21,4,0.00001,,,8,0.00001,,13,,17,17,4,,,,,,,,5,0.00001,4,64,87,87,16,59,327,,1081,,1676,895
6602,5127,1,202,7/21/09,23:00:30,23:01:23,202.959,202.959,40015.9587,40015.9593,37.82,-120.66,1560,,,,2009,,,,1.818,,,510,15,534,239,76.3,17,4.148,3.4,,,58.7,226,24.3,25.6,,,18.45,9.54,94.4,33.06,0.372,4.46,500,10.65,1.054,0.68,0.36,,,,9.92,6.04,8.5,1.03,4.64,0.87,1.585,,603,52,109,136,5,11,34,,0.00001,,,59,21,89,7,5,0.00001,0.00001,0.00001,4,4,34,5,10,0.00001,0.00001,0.00001,,,7,0.00001,,5,,17,19,6,,,,,,,,0.00001,0.00001,0.00001,24,29,29,6,24,311,,882,,2541,775
6602A,5127,1,202,7/21/09,23:00:30,23:01:23,202.959,202.959,40015.9587,40015.9593,37.82,-120.66,1560,,,,2009,,,,1.818,,,476,14,537,242,77.2,16.7,4.148,3.7,,,54.6,213,22.8,24.3,,,19.2,9.6,94.1,32.09,0.392,4.53,522,10.47,1.074,0.71,0.36,,,,10.52,6.32,8.42,1.03,4.85,0.89,1.615,,590,54,109,183,11,33,37,,0.00001,,,61,21,85,9,5,0.00001,0.00001,0.00001,0.00001,3,47,17,9,26,0.00001,7,,,9,0.00001,,5,,19,17,3,,,,,,,,0.00001,0.00001,0.00001,5,4,4,3,6,287,,1013,,1964,689
6615,6020,1,202,7/21/09,23:02:30,23:03:23,202.96,202.961,40015.9601,40015.9607,37.87,-120.79,1475,,,,2009,,,,1.871,,,477,13,550,243,77.9,16.5,4.081,3.3,,,58.4,220,23.4,23.7,,,21.9,9.63,90.8,33.79,0.604,6.51,501,10.98,2.308,0.76,0.28,,,,12.71,8.53,12.47,1.39,7.04,1.38,2.7,,736,90,164,264,7,50,58,,0.00001,,,96,34,5,9,8,0.00001,0.00001,0.00001,7,4,26,11,8,22,4,4,,,13,0.00001,,5,,27,26,6,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,4,237,,1052,,1889,673
6603,5182,1,202,7/21/09,23:06:00,23:06:54,202.963,202.963,40015.9625,40015.9631,37.82,-121.03,1254,,,,2009,,,,1.991,,,497,29,542,260,80,16.8,4.281,3.8,,,85.1,309,26.2,41.7,,,26.4,10.17,109.3,43.68,0.816,13.84,533,11.38,2.744,0.79,0.42,,,,13.96,10.66,19.21,1.97,11.07,2.3,4.57,,959,144,260,647,25,96,143,,0.00001,,,309,97,22,29,16,4,,,25,16,82,29,17,34,8,9,,,32,7,,17,,43,79,12,,,,,,,,0.00001,0.00001,0.00001,5,14,14,11,23,412,,1382,,2099,1509
6614,6607,1,202,7/21/09,23:07:30,23:08:24,202.964,202.964,40015.9635,40015.9642,37.77,-121.12,1253,,,,2009,,,,1.898,,,476,17,538,243,77.5,16.6,4.081,3.5,,,67.7,242,23.9,24.3,,,25.65,9.85,108,46.24,0.64,8.81,503,10.06,2.036,0.73,0.4,,,,12.42,9.34,13.98,1.59,7.71,1.44,2.745,,827,105,200,385,18,43,78,,0.00001,,,163,52,11,17,10,0.00001,0.00001,0.00001,15,10,40,22,12,25,7,7,,,23,6,,11,,32,45,9,,,,,,,,0.00001,0.00001,0.00001,3,6,6,4,14,233,,750,,2481,871
6604,5016,1,202,7/21/09,23:10:34,23:11:26,202.966,202.966,40015.9657,40015.9663,37.77,-121.33,1257,,,,2009,,,,1.861,,,483,18,546,245,78.1,16.9,4.252,3.7,,,66.7,238,25.2,25.1,,,22.05,10.1,90.8,44.29,1.408,7.55,503,9.8,0.753,0.75,0.36,,,,11.78,6.93,9.88,1.09,5.27,0.88,1.76,,627,89,185,220,9,43,61,,0.00001,,,114,32,27,12,7,0.00001,0.00001,0.00001,12,6,47,10,8,0.00001,5,4,,,18,0.00001,,7,,26,44,8,,,,,,,,0.00001,0.00001,0.00001,0.00001,4,4,0.00001,5,302,,803,,1823,532
6613,6046,1,202,7/21/09,23:13:01,23:13:54,202.967,202.968,40015.9674,40015.968,37.89,-121.37,1129,,,,2009,,,,1.879,,,474,15,532,241,76.1,16.7,4.024,3.4,,,77.5,250,25.1,27.2,,,26.1,10.18,126.1,48.8,1.288,18.85,503,10.26,0.998,0.71,0.38,,,,12.25,8.75,14.49,1.58,10.33,2.01,4.075,,936,143,273,437,10,103,161,,0.00001,,,242,86,6,23,13,5,,,22,14,72,36,18,27,11,8,,,34,8,,14,,41,67,10,,,,,,,,0.00001,0.00001,0.00001,0.00001,4,4,7,9,250,,721,,1683,1107
6605,5134,1,202,7/21/09,23:18:01,23:18:53,202.971,202.971,40015.9708,40015.9714,38.16,-121.48,1124,,,,2009,,,,1.897,,,485,44,542,246,78.5,16.8,5.186,3.7,,,70.7,231,25.1,26.7,,,24.6,10.01,89.4,44.41,2.212,15.88,517,11.23,1.336,0.75,0.34,,,,12.21,7.92,13.29,1.29,10.11,2.18,4.32,,1638,179,221,895,56,313,392,,12,,,500,201,21,52,26,11,,,29,24,121,44,26,36,13,13,,,39,17,,31,,50,102,17,,,,,,,,0.00001,0.00001,0.00001,6,11,11,14,11,224,,1405,,1845,1031
6612,6185,1,202,7/21/09,23:19:30,23:20:19,202.972,202.972,40015.9719,40015.9724,38.22,-121.54,1125,,,,2009,,,,1.852,,,473,29,544,244,77.6,16.6,4.433,3.2,,,62.9,223,23.6,24.7,,,22.2,9.74,88.6,39.04,1.264,10.02,504,11,1.518,0.75,0.28,,,,11.57,7.13,10.01,1.07,6.92,1.38,2.72,,932,96,149,517,19,156,186,,3,,,227,99,15,26,17,7,,,10,11,51,22,13,24,8,5,,,22,8,,19,,32,48,7,,,,,,,,0.00001,0.00001,0.00001,4,7,7,6,13,210,,1086,,1135,394
6621,8087,1,202,7/21/09,23:21:59,23:20:19,202.974,202.972,40015.9736,40015.9724,38.29,-121.6,1130,,,,2009,,,,1.844,,,500,22,535,242,76.8,16.7,4.176,3.4,,,58.2,222,22.6,24,,,20.85,9.6,89.2,35.62,0.244,5.71,505,11.49,2.168,0.79,0.26,,,,12.64,7.5,9.2,1.42,4.95,0.8,1.49,,652,65,127,222,10,48,51,,0.00001,,,59,23,3,8,13,0.00001,0.00001,0.00001,0.00001,3,60,10,10,17,4,4,,,9,0.00001,,11,,20,24,0.00001,,,,,,,,0.00001,0.00001,0.00001,3,6,6,3,8,282,,1471,,1910,775
6606,5019,1,202,7/21/09,23:24:59,23:24:43,202.976,202.975,40015.9757,40015.9755,38.34,-121.84,7220,,,,2009,,,,1.776,,,507,0.00001,545,239,76.5,16.5,4.043,3.1,,,45.5,199,22,20.7,,,10.2,9.12,87.7,22.2,0.072,1.61,512,8.48,0.035,0.62,0.16,,,,7.43,1.76,0.83,0.1,0.37,0.06,0.115,,310,5,20,13,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,6,0.00001,6,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,4,4,4,0.00001,7,62,,386,,153,146
6611,6199,1,202,7/21/09,23:26:58,23:26:45,202.977,202.977,40015.9771,40015.9769,38.27,-121.98,10588,,,,2009,,,,1.773,,,490,0.00001,543,249,79.8,17.3,4.29,3.6,,,46.6,201,22.9,21.3,,,9,9.47,90.6,19.76,0.068,1.56,530,8.85,0.033,0.67,0.16,,,,8.09,2.58,1.97,0.18,0.54,0.00001,0.00001,,359,10,15,14,3,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5,0.00001,7,9,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,3,5,5,0.00001,0.00001,,,407,,,0.00001
6607,5107,1,202,7/21/09,23:31:00,23:32:04,202.98,202.981,40015.9799,40015.9806,38.16,-122.5,20526,,,,2009,,,,1.773,,,476,0.00001,551,243,78.1,16.8,4.167,3.3,,,46.1,195,21.9,20.8,,,8.85,9.09,87.6,20.62,0.068,1.32,526,8.62,0.036,0.75,0.16,,,,14.02,2.81,1.51,0.16,0.5,0.00001,0.00001,,326,3,18,20,5,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5,0.00001,0.00001,6,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,539,,,
6610,6268,1,202,7/21/09,23:34:00,23:34:38,202.982,202.982,40015.9819,40015.9824,37.99,-122.77,24077,,,,2009,,,,1.77,,,468,0.00001,535,238,75.6,16.4,3.967,3.1,,,45.1,190,20.9,20,,,8.85,9.07,85.4,20.13,0.048,1.28,524,8.49,0.032,0.76,0.16,,,,14.54,2.94,1.47,0.16,0.51,0.00001,0.00001,,324,4,21,26,6,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,8,0.00001,6,9,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,469,,231,
6623,8211,1,202,7/21/09,23:36:57,23:37:55,202.984,202.985,40015.984,40015.9847,37.7,-122.54,28601,,,,2009,,,,1.779,,,490,0.00001,537,238,75.3,16.7,4.033,3.3,,,44.7,191,21.7,20.7,,,10.05,9.18,87.9,20.25,0.052,1.46,520,8.49,0.034,0.75,0.16,,,,13.87,2.85,1.29,0.14,0.38,0.00001,0.00001,,344,5,27,22,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,10,0.00001,11,9,0.00001,6,,,4,0.00001,,0.00001,,3,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,424,,,
6608,5061,1,202,7/21/09,23:41:59,2:43:11,202.987,203.113,40015.9875,40016.1133,37.3,-121.95,34293,,,,2009,,,,1.775,,,472,0.00001,540,241,76.7,16.4,4.186,3.2,,,44.3,191,21.5,21.3,,,8.55,9.08,86,20.25,0.048,1.24,515,8.7,0.04,0.66,0.16,,,,14.23,2.33,0.99,0.15,0.29,0.00001,0.00001,,326,5,25,25,6,0.00001,0.00001,,0.00001,,,0.00001,0.00001,6,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,,,3,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,,,
6609,6293,1,202,7/21/09,23:44:56,23:43:11,202.99,202.988,40015.9895,40015.9883,37.21,-121.65,34963,,,,2009,,,,1.777,,,510,0.00001,537,241,77.3,16.6,4.148,3.4,,,47.1,195,22.2,21.6,,,9.3,9.14,87.1,19.28,0.04,1.25,542,8.41,0.018,0.69,0.16,,,,14.28,2.32,0.7,0.07,0.12,0.00001,0.00001,,284,5,20,12,0.00001,69,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,6,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,5,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,236,,,
6624,8165,1,202,7/21/09,23:47:29,23:49:09,202.991,202.992,40015.9913,40015.9925,37,-121.59,34870,,,,2009,,,,1.774,,,475,0.00001,540,242,76.8,16.8,4.262,3.6,,,44.3,190,21.2,20.5,,,9.75,9.47,88.3,18.67,0.048,1.26,505,8.58,0.02,0.76,0.16,,,,15.95,2.79,0.78,0.05,0.11,0.00001,0.00001,,279,6,22,13,3,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,366,,,
3702,7056,1,203,7/22/09,0:01:00,0:02:09,203.001,203.001,40016.0007,40016.0015,36.86,-121.67,34931,,,,2009,,,,1.779,,,531,0.00001,539,238,75.7,16.6,4.214,3.1,,,45.5,204,22.6,20.6,,,10.35,9.09,86.7,27.45,0.028,1.43,531,8.05,0.021,0.64,0.14,,,,10.77,2.04,0.6,0.06,0.13,0.01,0.12,,284,6,26,8,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,5,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,,,
3715,6321,1,203,7/22/09,0:04:00,0:05:07,203.003,203.004,40016.0028,40016.0036,36.9,-121.3,34900,,,,2009,,,,1.774,,,491,0.00001,527,238,75.4,16.1,4.129,3.5,,,45.3,193,21.7,20.5,,,10.05,9.07,86,27.08,0.032,1.47,511,8.04,0.016,0.73,0.16,,,,14.21,2.42,0.66,0.1,0.07,0.00001,0.025,,290,7,25,13,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,3,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,,,
3718,8220,1,203,7/22/09,0:07:00,0:08:17,203.005,203.006,40016.0049,40016.0058,36.57,-121.15,34922,,,,2009,,,,1.774,,,505,0.00001,527,238,74.8,16.4,4.167,3.4,,,45,197,22.5,21,,,10.5,9.33,87.4,27.69,0.044,1.47,521,8.32,0.017,0.71,0.16,,,,12.93,2.55,0.74,0.07,0.11,0.00001,0.02,,293,7,25,12,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,218,,,
3703,7285,1,203,7/22/09,0:10:00,0:11:14,203.007,203.008,40016.0069,40016.0078,36.24,-120.99,34928,,,,2009,,,,1.778,,,504,0.00001,532,241,75.2,16.4,4.119,3.3,,,45.3,198,21.9,21.2,,,10.35,9.03,85.4,29.16,0.032,1.38,524,8.44,0.027,0.68,0.14,,,,11.11,2.24,0.82,0.08,0.17,0.00001,0.07,,307,4,28,14,6,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,3,4,0.00001,0.00001,,,,,,
3714,6276,1,203,7/22/09,0:13:00,0:14:06,203.009,203.01,40016.009,40016.0098,35.91,-120.82,36987,,,,2009,,,,1.78,,,506,0.00001,535,240,76.5,16.7,4.376,3.5,,,46,196,22.2,21.4,,,11.7,9.48,88.9,28.91,0.032,1.57,524,8.42,0.021,0.68,0.2,,,,10.7,2.22,0.86,0.11,0.17,0.00001,0.07,,314,7,33,15,7,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,4,3,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,317,,,
3719,8219,1,203,7/22/09,0:17:00,0:18:19,203.012,203.013,40016.0118,40016.0127,36.33,-120.57,36915,,,,2009,,,,1.785,,,489,0.00001,528,239,75.5,16.3,4.395,3.5,,,43.7,194,21.8,20.9,,,11.1,9.38,88.7,27.45,0.048,1.64,510,8.83,0.032,0.7,0.16,,,,10.51,2.5,1.18,0.09,0.24,0.00001,0.02,,333,7,39,13,6,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,4,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,6,7,0.00001,0.00001,,,363,,,
3704,7055,1,203,7/22/09,0:21:00,0:22:35,203.015,203.016,40016.0146,40016.0157,35.23,-120.6,34894,,,,2009,,,,1.783,,,496,0.00001,533,237,75.7,16.5,4.329,3.4,,,45.2,197,22.2,21.5,,,10.8,9.08,86,30.13,0.052,1.48,526,8.46,0.031,0.66,0.16,,,,8.94,2.17,1.1,0.13,0.25,0.00001,0.045,,332,7,35,16,5,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,3,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,,,,
3713,6099,1,203,7/22/09,0:25:00,0:26:18,203.017,203.018,40016.0174,40016.0183,35.16,-121.17,34659,,,,2009,,,,1.777,,,507,0.00001,535,240,75.6,16.6,4.348,3.6,,,45.3,197,22,20.2,,,10.35,9.1,86.9,26.6,0.028,1.5,519,8.33,0.014,0.65,0.14,,,,11.31,1.99,0.64,0.08,0.12,0.00001,0.055,,296,7,29,14,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,3,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,4,3,0.00001,0.00001,,,212,,,
3720,8225,1,203,7/22/09,0:29:02,0:30:16,203.02,203.021,40016.0202,40016.021,35.03,-121.11,34019,,,,2009,,,,1.774,,,500,0.00001,530,238,76.2,16.3,4.348,3.6,,,44.5,194,21.8,21.2,,,10.65,9.32,89,26.84,0.018,1.43,506,8.38,0.00001,0.67,0.14,,,,13.61,2.01,0.47,0.04,0.06,0.00001,0.02,,277,6,23,8,0.00001,0.00001,0.00001,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,0.00001,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,3,4,0.00001,0.00001,,,210,,455,124
3705,7225,1,203,7/22/09,0:33:07,0:34:00,203.023,203.024,40016.023,40016.0236,35.11,-120.51,31733,,,,2009,,,,1.788,,,492,0.00001,531,238,74.8,16.5,4.414,3.6,,,46.4,198,22.5,21.6,,,10.35,9.37,85.4,25.01,0.052,2.04,519,8.85,0.099,0.61,0.14,,,,9.23,4.25,6.63,0.74,4.36,0.47,0.435,,731,7,48,121,0.00001,5,9,,0.00001,,,0.00001,0.00001,0.00001,0.00001,6,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,5,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,74,,1677,,766,144
3712,6311,1,203,7/22/09,0:39:00,0:39:48,203.027,203.028,40016.0271,40016.0276,34.96,-119.6,30763,,,,2009,,,,1.793,,,511,0.00001,536,242,77.8,16.5,4.576,3.7,,,48.5,206,23,22.6,,,11.85,9.57,90.4,29.52,0.032,2.19,549,9.35,0.083,0.68,0.18,,,,10.11,5,9.53,0.81,4.61,0.39,0.355,,753,6,49,121,4,5,12,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,7,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,4,5,0.00001,0.00001,38,,1815,,577,
3721,8224,1,203,7/22/09,0:40:04,0:40:54,203.028,203.028,40016.0278,40016.0284,34.98,-119.43,29964,,,,2009,,,,1.787,,,491,0.00001,533,238,75.6,16.4,4.224,3.4,,,46.2,195,22.5,21.4,,,11.85,9.36,89.2,29.16,0.04,2.19,522,8.88,0.124,0.67,0.18,,,,10.29,4.63,8.4,0.78,4.97,0.4,0.37,,653,6,50,92,0.00001,6,9,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,7,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,0.00001,130,,1992,,598,111
3706,7156,1,203,7/22/09,0:40:31,0:41:08,203.028,203.029,40016.0281,40016.0286,36.98,-111.34,29540,,,,2009,,,,1.793,,,506,0.00001,532,238,76.7,16.8,4.31,3.6,,,46.8,203,22.8,21.8,,,11.4,9.04,86.9,25.99,0.06,2.13,536,9.14,0.109,0.63,0.16,,,,8.58,4.32,7.17,0.71,4.84,0.46,0.47,,770,6,51,135,5,7,14,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,7,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,120,,1137,,957,
3722,8223,1,203,7/22/09,0:43:00,0:44:05,203.03,203.031,40016.0299,40016.0306,36.9,-121.05,25734,,,,2009,,,,1.792,,,495,0.00001,533,240,77.1,16.4,4.471,3.7,,,47.8,199,21.8,22.1,,,12.45,9.49,90.8,27.08,0.068,2.29,523,9.95,0.086,0.67,0.18,,,,10.02,5.23,8.57,0.87,5.48,0.37,0.4,,975,17,58,192,5,13,28,,0.00001,,,5,0.00001,0.00001,6,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,8,7,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,7,4,0.00001,0.00001,125,,1817,,1473,238
3707,7059,1,203,7/22/09,0:44:44,0:45:46,203.031,203.032,40016.0311,40016.0318,34.85,-118.85,22812,,,,2009,,,,1.785,,,498,0.00001,536,240,77.4,16.6,4.252,3.4,,,48.1,204,22.9,21.3,,,10.2,9.18,87.6,24.03,0.06,2.11,527,9.35,0.099,0.72,0.18,,,,11.43,3.5,3.48,0.41,1.76,0.3,0.31,,435,7,38,51,0.00001,4,7,,0.00001,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,,0.00001,0.00001,,0.00001,,5,0.00001,0.00001,,,,,,,,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,67,,1085,,794,115
