Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),Isoprene (E/B),n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS)
3808,9296,2,177,6/26/17,19:42:00,19:42:42,177.8208,177.8213,42912.8208,42912.8213,33.72,-117.14,3647,1079,,,2017,,,551,1.849,89,415,575,1.41,516,224,70,16.3,3.376,3.402,0.448,16.7,110.6,244.6,22.44,26.54,1.545,0.975,13.83,2.34,80,51.6,0.412,2.093,536,6.1,0.199,0.593,1.118,0.49,0.706,11.44,4.987,1.905,3.186,0.565,2.143,2.631,4.648,1.951,789,45,98,250,0,39,54,,0,0,0,98,78,14,14,0,0,0,0,,0,13,0,,,,0,,,13,0,13,13,10,14,18,0,,,0,0,,0,0,0,0,0,0,0,0,73,0,855,23,1942,160,1266,258
3809,9307,2,177,6/26/17,19:43:00,19:43:41,177.8215,177.822,42912.8215,42912.822,33.75,-117.17,3616,1082,,,2017,,,517,1.847,85,414,583,2.41,515,225,70.5,16.07,3.36,3.44,0.443,14.34,108.2,246.9,22.79,27.3,3.388,1.551,13.2,2.35,80.8,53.7,0.346,2.19,539,6.08,0.202,0.623,0.787,0.418,0.672,11.18,5.549,1.899,3.024,0.674,1.865,2.588,4.453,1.862,779,49,91,447,0,36,53,,0,0,0,83,81,13,12,0,0,11,0,,0,0,0,,,,12,,,14,0,11,20,11,14,17,0,,,0,0,,0,0,0,0,0,0,0,0,42,0,964,26,2707,138,1689,414
3824,9300,2,177,6/26/17,19:44:00,19:44:41,177.8222,177.8227,42912.8222,42912.8227,33.78,-117.19,3392,1007,,,2017,,,489,1.826,61,413,594,1.58,525,233,72.5,16.79,3.447,3.545,0.463,9.86,105.3,258.1,22.74,27.1,2.946,1.264,12.46,2.38,83.3,52,0.34,2.028,558,6.62,0.148,0.672,0.553,0.306,0.571,10.87,4.996,1.548,2.121,0.428,1.309,0.988,1.997,0.963,675,32,78,156,0,22,36,,0,0,0,51,38,18,12,0,0,0,0,,10,0,0,,,,0,,,15,0,26,0,17,11,11,0,,,0,0,,0,0,0,0,0,0,0,0,63,0,981,34,1886,195,1097,336
3101,5002,2,177,6/26/17,19:46:00,19:46:38,177.8236,177.8241,42912.8236,42912.8241,33.85,-117.24,2033,552,,,2017,,,543,1.852,73,413,572,2.16,513,229,70.7,16.49,3.422,3.479,0.439,9.44,92.1,232.3,22.07,25.43,1.862,1.181,11.92,2.38,82.5,51.4,0.352,2.289,534,6.19,0.145,0.589,0.503,0.248,0.497,11.1,6.673,1.639,2.048,0.487,1.275,0.728,1.207,0.936,684,40,75,163,0,25,50,,0,0,0,77,29,46,15,0,0,0,0,,0,11,0,,,,0,,,11,0,14,0,0,12,15,0,,,10,0,,0,0,0,0,0,0,0,0,89,0,1386,24,1332,64,1481,398
3115,7342,2,177,6/26/17,19:46:50,19:47:20,177.8242,177.8245,42912.8242,42912.8245,33.88,-117.26,1814,455,,,2017,,,626,1.842,98,415,590,2.92,517,224,70.3,16.21,3.357,3.348,0.453,15.66,106.8,289.1,22.03,27.84,1.435,1.154,14.68,2.41,81,56.8,0.455,3.611,551,6.74,0.184,0.624,1.42,0.725,0.848,11.66,6.304,1.8,2.866,0.622,2.258,1.55,2.477,2.022,794,62,108,235,12,39,85,,0,0,0,141,53,59,17,0,0,0,0,,0,21,14,,,,14,,,17,0,18,0,0,19,27,0,,,13,0,,0,0,0,0,0,0,0,0,164,43,919,18,1227,60,2188,590
3116,7325,2,177,6/26/17,19:47:57,19:48:36,177.825,177.8254,42912.825,42912.8254,33.92,-117.29,2225,614,,,2017,,,536,1.844,95,414,601,2.5,528,234,71.9,16.84,3.558,3.643,0.462,22.03,112.3,273.9,23.05,30.8,3.054,1.307,15.05,2.45,83.3,63,0.678,4.565,551,6.63,0.215,0.666,1.044,0.593,0.924,12.67,6.402,1.806,3.009,0.62,2.679,2.112,3.034,2.406,844,73,114,342,22,58,106,,0,0,0,158,62,130,19,0,0,0,0,,0,22,15,,,,0,,,17,0,21,0,0,49,28,0,,,0,0,,0,0,0,0,0,0,0,0,192,34,950,20,1578,102,1521,572
3117,6242,2,177,6/26/17,19:48:57,19:49:33,177.8257,177.8261,42912.8257,42912.8261,33.95,-117.31,2864,813,,,2017,,,585,1.849,94,414,573,0,519,225,70.6,16.15,3.355,3.358,0.494,20.41,113.9,270.3,22.27,31.61,2.71,1.383,14.35,2.43,80.7,55.9,0.518,3.786,536,6.39,0.224,0.644,0.973,0.559,1.084,11.53,6.041,1.739,3.268,0.66,2.732,1.957,3.389,2.848,829,65,126,299,0,48,113,,0,0,0,195,63,130,18,0,0,0,0,,0,27,18,,,,14,,,26,0,22,0,0,20,30,0,,,10,0,,0,0,0,0,0,0,0,0,296,63,815,17,1049,61,1061,444
3102,5007,2,177,6/26/17,19:49:47,19:50:36,177.8262,177.8268,42912.8262,42912.8268,33.92,-117.34,3161,915,,,2017,,,585,1.845,87,413,576,1.62,514,224,69.9,16.12,3.324,3.311,0.443,10.42,109.5,237.7,21.94,25.66,2.557,1.556,11.77,2.34,80.8,50.2,0.371,2.27,535,6.06,0.132,0.602,0.601,0.313,0.715,11.35,5.066,1.43,1.831,0.44,1.428,0.761,1.427,1.247,630,41,77,161,0,26,59,,0,0,0,90,30,130,10,0,0,0,0,,0,12,0,,,,0,,,13,0,16,0,0,12,17,0,,,0,0,,0,0,0,0,0,0,0,0,196,39,1206,22,1139,65,1122,331
3118,6011,2,177,6/26/17,19:51:00,19:51:59,177.8271,177.8278,42912.8271,42912.8278,33.87,-117.35,3731,1115,,,2017,,,556,1.853,103,415,578,3.93,522,224,70.9,16.29,3.47,3.432,0.454,23.94,120.1,261.2,22.36,25.78,4.232,1.302,14.88,2.4,81,62.5,0.781,3.839,541,6.88,0.262,0.644,1.358,0.62,1.063,12.06,6.132,1.874,3.378,0.783,2.716,1.856,3.388,2.814,883,83,134,321,11,52,116,,0,0,0,169,65,89,19,0,0,0,0,,10,27,17,,,,13,,,21,0,14,0,0,24,34,0,,,11,0,,0,0,0,0,0,0,0,0,293,39,789,23,1305,74,1225,582
3103,5029,2,177,6/26/17,19:54:10,19:54:50,177.8293,177.8297,42912.8293,42912.8297,33.81,-117.44,5279,1594,,,2017,,,552,1.857,63,414,580,2.32,520,232,72,16.68,3.389,3.425,0.455,14.17,100.2,243.2,22.65,27.84,2.036,1.169,12.36,2.42,83.5,69.3,0.607,1.459,537,6.66,0.161,0.623,0.768,0.322,0.52,11.07,5.31,1.52,2.069,0.452,1.398,0.658,1.227,0.968,632,48,80,207,0,45,45,,0,0,0,58,23,96,13,0,0,0,0,,0,0,0,,,,0,,,0,0,0,0,0,11,12,0,,,0,0,,0,0,0,0,0,0,0,0,237,53,1110,19,340,53,1249,452
